name|link|info|price
realme 9 Pro + 5G 6/128GB (черный)|https://shop.mts.by//phones/realme/realme-9-pro-plus-5g-6-128gb-black/|"2 SIM-картыДиагональ: 6.4 ""Камера: 50 МпАКБ: 4500 mAhОЗУ: 6 Гб"|от60руб./мес.от1159руб.
realme C25s 4/64GB (серый)|https://shop.mts.by//phones/realme/realme-c25s-4-64gb-gray/|"2 SIM-картыДиагональ: 6.5 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от27руб./мес.от479руб.
realme C11 2021 4/64GB (серый)|https://shop.mts.by//phones/realme/realme-c11-2021-4-64gb-gray/|"2 SIM-картыДиагональ: 6.5 ""Камера: 8 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от22руб./мес.от409руб.
realme 9 Pro 5G 8/128GB (черный)|https://shop.mts.by//phones/realme/realme-9-pro-5g-8-128gb-black/|"2 SIM-картыДиагональ: 6.6 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от52руб./мес.от979руб.
realme C21Y 4/64GB (черный)|https://shop.mts.by//phones/realme/realme-c21y-4-64gb-black/|"2 SIM-картыДиагональ: 6.5 ""Камера: 13 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от23руб./мес.от409руб.
realme C11 2021 4/64GB (голубой)|https://shop.mts.by//phones/realme/realme-c11-2021-4-64gb-blue/|"2 SIM-картыДиагональ: 6.5 ""Камера: 8 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от22руб./мес.от409руб.
realme C21Y 4/64GB (голубой)|https://shop.mts.by//phones/realme/realme-c21y-4-64gb-blue/|"2 SIM-картыДиагональ: 6.5 ""Камера: 13 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от23руб./мес.от409руб.
realme 9 Pro 5G 8/128GB (зеленый)|https://shop.mts.by//phones/realme/realme-9-pro-5g-8-128gb-green/|"2 SIM-картыДиагональ: 6.6 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от52руб./мес.от979руб.
realme C25s 4/64GB (голубой)|https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/|"2 SIM-картыДиагональ: 6.5 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от27руб./мес.от479руб.
realme 9 Pro + 5G 6/128GB (черный)|https://shop.mts.by//phones/realme/realme-9-pro-plus-5g-6-128gb-black/|"2 SIM-картыДиагональ: 6.4 ""Камера: 50 МпАКБ: 4500 mAhОЗУ: 6 Гб"|от60руб./мес.от1159руб.
realme C25s 4/64GB (серый)|https://shop.mts.by//phones/realme/realme-c25s-4-64gb-gray/|"2 SIM-картыДиагональ: 6.5 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от27руб./мес.от479руб.
realme C11 2021 4/64GB (серый)|https://shop.mts.by//phones/realme/realme-c11-2021-4-64gb-gray/|"2 SIM-картыДиагональ: 6.5 ""Камера: 8 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от22руб./мес.от409руб.
realme 9 Pro 5G 8/128GB (черный)|https://shop.mts.by//phones/realme/realme-9-pro-5g-8-128gb-black/|"2 SIM-картыДиагональ: 6.6 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от52руб./мес.от979руб.
realme C21Y 4/64GB (черный)|https://shop.mts.by//phones/realme/realme-c21y-4-64gb-black/|"2 SIM-картыДиагональ: 6.5 ""Камера: 13 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от23руб./мес.от409руб.
realme C11 2021 4/64GB (голубой)|https://shop.mts.by//phones/realme/realme-c11-2021-4-64gb-blue/|"2 SIM-картыДиагональ: 6.5 ""Камера: 8 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от22руб./мес.от409руб.
realme C21Y 4/64GB (голубой)|https://shop.mts.by//phones/realme/realme-c21y-4-64gb-blue/|"2 SIM-картыДиагональ: 6.5 ""Камера: 13 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от23руб./мес.от409руб.
realme 9 Pro 5G 8/128GB (зеленый)|https://shop.mts.by//phones/realme/realme-9-pro-5g-8-128gb-green/|"2 SIM-картыДиагональ: 6.6 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от52руб./мес.от979руб.
realme C25s 4/64GB (голубой)|https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/|"2 SIM-картыДиагональ: 6.5 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от27руб./мес.от479руб.
realme 9 Pro + 5G 6/128GB (черный)|https://shop.mts.by//phones/realme/realme-9-pro-plus-5g-6-128gb-black/|"2 SIM-картыДиагональ: 6.4 ""Камера: 50 МпАКБ: 4500 mAhОЗУ: 6 Гб"|от60руб./мес.от1159руб.
realme C25s 4/64GB (серый)|https://shop.mts.by//phones/realme/realme-c25s-4-64gb-gray/|"2 SIM-картыДиагональ: 6.5 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от27руб./мес.от479руб.
realme C11 2021 4/64GB (серый)|https://shop.mts.by//phones/realme/realme-c11-2021-4-64gb-gray/|"2 SIM-картыДиагональ: 6.5 ""Камера: 8 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от22руб./мес.от409руб.
realme 9 Pro 5G 8/128GB (черный)|https://shop.mts.by//phones/realme/realme-9-pro-5g-8-128gb-black/|"2 SIM-картыДиагональ: 6.6 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от52руб./мес.от979руб.
realme C21Y 4/64GB (черный)|https://shop.mts.by//phones/realme/realme-c21y-4-64gb-black/|"2 SIM-картыДиагональ: 6.5 ""Камера: 13 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от23руб./мес.от409руб.
realme C11 2021 4/64GB (голубой)|https://shop.mts.by//phones/realme/realme-c11-2021-4-64gb-blue/|"2 SIM-картыДиагональ: 6.5 ""Камера: 8 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от22руб./мес.от409руб.
realme C21Y 4/64GB (голубой)|https://shop.mts.by//phones/realme/realme-c21y-4-64gb-blue/|"2 SIM-картыДиагональ: 6.5 ""Камера: 13 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от23руб./мес.от409руб.
realme 9 Pro 5G 8/128GB (зеленый)|https://shop.mts.by//phones/realme/realme-9-pro-5g-8-128gb-green/|"2 SIM-картыДиагональ: 6.6 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от52руб./мес.от979руб.
realme C25s 4/64GB (голубой)|https://shop.mts.by//phones/realme/realme-c25s-4-64gb-blue/|"2 SIM-картыДиагональ: 6.5 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от27руб./мес.от479руб.
realme 9 Pro + 5G 6/128GB (черный)|https://shop.mts.by//phones/realme/realme-9-pro-plus-5g-6-128gb-black/|"2 SIM-картыДиагональ: 6.4 ""Камера: 50 МпАКБ: 4500 mAhОЗУ: 6 Гб"|от60руб./мес.от1159руб.
realme C25s 4/64GB (серый)|https://shop.mts.by//phones/realme/realme-c25s-4-64gb-gray/|"2 SIM-картыДиагональ: 6.5 ""Камера: 48 МпАКБ: 6000 mAhОЗУ: 4 Гб"|от27руб./мес.от479руб.
realme C11 2021 4/64GB (серый)|https://shop.mts.by//phones/realme/realme-c11-2021-4-64gb-gray/|"2 SIM-картыДиагональ: 6.5 ""Камера: 8 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от22руб./мес.от409руб.
realme 9 Pro 5G 8/128GB (черный)|https://shop.mts.by//phones/realme/realme-9-pro-5g-8-128gb-black/|"2 SIM-картыДиагональ: 6.6 ""Камера: 64 МпАКБ: 5000 mAhОЗУ: 8 Гб"|от52руб./мес.от979руб.
realme C21Y 4/64GB (черный)|https://shop.mts.by//phones/realme/realme-c21y-4-64gb-black/|"2 SIM-картыДиагональ: 6.5 ""Камера: 13 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от23руб./мес.от409руб.
realme C11 2021 4/64GB (голубой)|https://shop.mts.by//phones/realme/realme-c11-2021-4-64gb-blue/|"2 SIM-картыДиагональ: 6.5 ""Камера: 8 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от22руб./мес.от409руб.
realme C21Y 4/64GB (голубой)|https://shop.mts.by//phones/realme/realme-c21y-4-64gb-blue/|"2 SIM-картыДиагональ: 6.5 ""Камера: 13 МпАКБ: 5000 mAhОЗУ: 4 Гб"|от23руб./мес.от409руб.
